# Column: m95     -95% percentile on planet mass from the low-SNR TTV-derived posteriors 
#                  (using the standard treatment of stellar noise---i.e., uncorrelated
#                   between planets in a given system)
# Column: m95_alt -95% percentile on planet mass from the low-SNR TTV-derived posteriors 
#                  (using the alternate treatment of stellar noise---i.e., identical
#                   between planets in a given system)
# Column: radius  -planetary radius
# , ,Mearth,Mearth,Rearth
,KOI,m95,m95_alt,radius
0,111.01,7.5497,7.7466,2.38
1,111.02,12.6317,10.5161,2.36
2,111.03,15.5386,15.5593,2.635
3,153.02,31.624,31.0865,2.001
4,153.01,31.9508,30.4385,2.662
5,209.02,122.5707,100.5578,8.011
6,238.01,28.4134,20.3696,3.026
7,238.02,8.3354,8.8203,1.575
8,245.01,11.0185,10.4477,1.91
9,285.01,11.7992,10.5081,3.704
10,285.02,22.5949,14.9003,2.452
11,285.03,13.9261,14.2279,2.062
12,313.01,65.3613,61.9791,2.259
13,341.02,13.329,13.2084,2.026
14,341.01,36.9218,27.6314,2.771
15,370.02,27.054,36.0333,2.224
16,370.01,20.9436,27.0476,3.878
17,386.02,43.8506,44.7999,2.803
18,431.01,120.834,116.8763,2.421
19,431.02,53.7115,53.4808,2.109
20,457.01,36.9966,22.5293,2.099
21,457.02,13.0223,13.1154,1.987
22,475.01,84.6856,45.7712,2.404
23,475.02,19.8168,20.3716,2.186
24,508.01,47.0576,43.913,2.935
25,508.02,39.2936,42.6285,2.72
26,528.01,30.6736,44.4185,2.4
27,546.02,28.7776,28.9198,3.178
28,546.01,45.3011,44.4623,4.297
29,551.02,11.7664,11.8107,2.416
30,551.01,20.6884,19.9952,2.63
31,624.01,156.9287,153.4171,2.722
32,624.02,119.7912,118.768,2.534
33,658.01,124.2836,111.2582,2.517
34,658.02,116.157,94.2017,2.346
35,672.02,141.8808,140.2853,2.93
36,691.01,59.7694,52.5463,3.721
37,693.02,35.892,36.0084,3.1
38,693.01,34.782,32.9828,2.947
39,708.01,160.3223,166.4794,3.745
40,757.02,88.5052,90.572,3.448
41,1307.01,32.1092,33.1178,3.129
42,1647.01,110.8991,101.9808,2.682
43,1647.02,56.0033,57.4688,2.393
44,1779.02,197.1412,209.0836,3.034
45,1805.01,38.1628,37.6448,2.456
46,1909.01,3.9036,3.9418,1.374
47,1909.03,6.8907,6.6854,1.394
48,1931.03,1.5451,1.6001,1.117
49,1931.02,2.1672,2.2264,1.1
50,2022.02,29.1167,29.2275,2.087
51,2037.03,20.7462,21.8801,1.798
52,2173.01,2.0024,2.0097,1.124
53,2173.02,3.7428,3.6056,1.323
54,2194.01,3.0194,3.028,2.303
55,2194.02,3.962,3.922,2.105
56,2414.01,0.5801,0.5452,1.986
57,2414.02,1.3004,1.3367,2.139
58,3925.01,74.6712,72.5658,3.002
