,GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
1,613863,0.160761,0.839239,0.0,0.523880679,0.315358321,0.062717832,0.252640489,0.224008792,0.09134953,0.069384507,0.19953131,0.046442505,0.0,0.033033,0.966967,0.0,0.0,0.160761,0.0,0.0,0.0,0.0,0.005780775,0.0,0.027252225,0.201520133,0.022598117,0.299762429,0.109003574,0.0874378,0.027567642,0.0,0.056596493,0.0,0.0,0.0,0.167412298
3,267759,0.14,0.859,0.001,0.078169,0.780831,0.0780831,0.7027479,0.651213054,0.129617946,0.0,0.261578385,0.441169515,0.0780831,0.27,0.73,0.08792,0.05208,0.0,0.21789,0.0,0.0,0.05211,0.0,0.0,0.0,0.078169,0.0,0.0,0.313570807,0.285596648,0.052044947,0.103542876,0.285882531,0.129591398,0.0,0.0,0.13219625
4,976669,0.053069,0.934283,0.012648,0.087726371,0.846556629,0.118104808,0.728451821,0.741643713,0.104912916,0.0,0.430772034,0.283171499,0.132613096,0.036365,0.963635,0.0,0.053069,0.0,0.0,0.0,0.036365,0.0,0.0,0.0,0.0,0.087726371,0.0,0.0,0.523463257,0.218180456,0.0,0.0,0.234485493,0.50715822,0.0,0.0,0.0
8,969129,0.078758,0.913092,0.00815,0.0,0.913092,0.869280933,0.043811067,0.26342065,0.64967135,0.0,0.342558334,0.570533666,0.0,0.271508,0.728492,0.078758,0.0,0.0,0.116360455,0.0,0.0,0.0,0.116360455,0.038786818,0.0,0.0,0.0,0.0,0.192937977,0.070482673,0.0,0.0,0.218551684,0.0,0.0,0.0,0.044868966
10,390170,0.814439,0.185561,0.0,0.0,0.185561,0.0,0.185561,0.141501396,0.044059604,0.0,0.185561,0.0,0.0,0.0,1.0,0.0,0.447565179,0.366873821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141501396,0.0,0.0,0.0,0.0,0.0,0.0,0.141501396
15,792180,0.84293,0.092661,0.06441,0.0,0.092661,0.0,0.092661,0.0,0.092661,0.0,0.0,0.0,0.092661,0.11919,0.88081,0.801770571,0.027779601,0.013379828,0.00583447,0.0,0.0,0.056677706,0.056677706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,734991,0.168652,0.831348,0.0,0.0,0.831348,0.528597662,0.302750338,0.427704437,0.403643563,0.0,0.173480713,0.576330338,0.081536949,0.296939,0.703061,0.138403589,0.030248411,0.0,0.296939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32847658,0.079271596,0.019956261,0.0,0.326348323,0.0,0.0,0.0,0.101356114
18,921671,0.097,0.871,0.032,0.418951,0.452049,0.2260245,0.2260245,0.387405993,0.064643007,0.096835224,0.226250977,0.096835224,0.032127574,0.567,0.433,0.0,0.032301,0.064699,0.033453,0.0,0.166698,0.200151,0.0,0.133245,0.033453,0.064518454,0.0,0.354432546,0.129135202,0.129135202,0.129135202,0.064696801,0.193702997,0.0,0.0,0.0,0.129006196
20,482040,0.08232,0.908636,0.009044,0.066680253,0.841955747,0.425361937,0.41659381,0.628675727,0.21328002,0.0,0.346005082,0.429288819,0.066661846,0.109,0.891,0.017609647,0.055802752,0.0089076,0.0436,0.0218,0.0,0.0,0.0436,0.0,0.0,0.066680253,0.0,0.0,0.089601379,0.205128717,0.333945631,0.0,0.594452507,0.0,0.0,0.0,0.034223221
21,998947,0.83535,0.135177,0.029473,0.0,0.135177,0.0,0.135177,0.0,0.135177,0.0,0.088070249,0.047106751,0.0,0.0,1.0,0.661581328,0.173768672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,490068,0.889909,0.072337,0.037754,0.0,0.072337,0.0,0.072337,0.072337,0.0,0.0,0.0,0.072337,0.0,0.072313,0.927687,0.048279343,0.783724168,0.057906379,0.0,0.0361565,0.0,0.0,0.0,0.0361565,0.0,0.0,0.0,0.0,0.072337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072337
24,852489,0.085451,0.914549,0.0,0.09358397,0.82096503,0.103461297,0.717503733,0.612304453,0.208660577,0.0,0.119158969,0.582164364,0.119641697,0.539378,0.460622,0.024846245,0.012177537,0.048427218,0.475731396,0.031823302,0.0,0.0,0.031823302,0.0,0.0,0.09358397,0.0,0.0,0.057268835,0.238511566,0.316524052,0.0,0.612304453,0.0,0.0,0.0,0.0
