,system,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,lambda,lambda_up,lambda_down,istar,istar_up,istar_down,psi,psi_up,psi_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,prot,prot_up,prot_down,vsini,vsini_up,vsini_down
0,AU Mic,18.923917736825462,2.145078635897628,2.415479158818163,0.053999999999999,0.014,0.014,0.375,0.017999999999999,0.017999999999999,4.699999809265135,6.400000095367431,6.800000190734863,90.0,0.0,19.461946765253813,12.101691860992405,11.330371297957273,7.493685610291373,3700.0,100.0,100.0,0.5,0.029999999999999,0.029999999999999,0.75,0.029999999999999,0.029999999999999,4.854185002516715,0.7500028330068741,0.7500028330068741,9.229999542236328,0.790000021457672,0.310000002384185
1,Beta PIC,1141.9208960106207,3.466079803163672,3.466079803163672,11.899999618530272,2.930000066757202,3.039999961853027,1.460000038146972,0.009999999776482,0.009999999776482,2.999999999999995,5.0,5.0,,,,,,,8200.0,200.0,200.0,1.75,0.029999999329447,0.019999999552965,1.8700000047683711,0.032000001519918,0.032000001519918,0.0,0.0,0.0,130.0,10.0,10.0
2,CoRoT-2,6.766384167074486,0.181502673650571,0.181502673650571,3.569999999999999,0.149999999999999,0.149999999999999,1.46,0.031,0.031,0.9999999999999944,7.699999809265136,6.0,90.0,0.0,10.79644921542338,8.877122614052604,6.738487865483811,5.14471106007168,5598.0,50.0,50.0,0.997,0.049,0.049,0.901,0.019,0.019,4.522,0.024,0.024,11.25,0.449999988079071,0.449999988079071
3,CoRoT-3,7.8958886199178675,0.49460127576156,0.475972074295025,21.96,0.7029999999999991,0.7029999999999991,1.036999999999999,0.069,0.069,37.59999847412109,10.0,22.299999237060547,,,,,,,6558.0,44.0,44.0,1.403,0.060999999999999,0.060999999999999,1.5750000000000002,0.094,0.094,0.0,0.0,0.0,17.0,1.0,1.0
4,CoRoT-11,6.886432946443034,0.395194390033869,0.395194390033869,2.339999999999999,0.39,0.39,1.425999999999999,0.057,0.057,0.10000000149011255,2.599999904632568,2.599999904632568,,,,,,,6343.0,72.0,72.0,1.26,0.14,0.14,1.374,0.060999999999999,0.060999999999999,0.0,0.0,0.0,38.470001220703125,0.070000000298023,0.070000000298023
5,CoRoT-18,7.013909590504648,0.278197385209207,0.313996654735617,3.299999999999999,0.19,0.19,1.145999999999999,0.039,0.048,9.999999999999996,20.0,20.0,90.0,0.0,23.21142873004669,25.44539864513206,13.594275106750086,13.118912526629648,5440.0,100.0,100.0,0.88,0.07,0.07,0.8830000000000001,0.025,0.031,5.526607955566002,0.333332737543969,0.333332737543969,8.0,1.0,1.0
6,DS Tuc,16.079999923706055,0.319999992847442,0.280000001192092,0.088096913515221,0.110121141894027,0.040902138417781,0.5,0.02,0.02,2.9300000667572004,0.8799999952316281,0.870000004768371,90.0,0.0,7.325232212834436,3.9596717377638573,4.643773857592007,1.578599095677422,5598.0,28.0,59.0,0.9589999999999992,0.031,0.031,0.872,0.027,0.027,2.853686026957216,0.057073720539144,0.057073720539144,20.57999992370605,0.310000002384185,0.239999994635581
7,EPIC 246851721,9.585635950576544,0.232897996375644,0.228647941941,3.0,1.100000023841857,1.200000047683715,1.004,0.048,0.049,1.4800000190734857,0.850000023841857,0.850000023841857,90.0,0.0,12.441991728575177,2.932598416145883,10.785051716361606,1.641316817053011,6202.0,52.0,50.0,1.324,0.04,0.04,1.624,0.035999999999999,0.035,1.144688663196544,0.061289999999999,0.061289999999999,74.91999816894531,0.620000004768371,0.600000023841857
8,GJ 3470 ,13.84000015258789,0.5099999904632561,0.46000000834465,0.043198950805856,0.005065572527125,0.005065572527125,0.345765690274479,0.026734460862029,0.026734460862029,101.0,29.0,14.0,51.0,25.0,21.0,97.0,16.0,11.0,3622.0,58.0,55.0,0.52700001001358,0.024000000208616,0.026000000536441,0.5,0.001700000022538,0.016000000759959,21.54,0.49,0.49,0.85,0.27,0.33
9,GJ 436,14.55685979755805,0.842102210741776,0.8082650929666001,0.079899999999999,0.0066,0.0063,0.365999999999999,0.014,0.014,72.0,33.0,24.0,37.31103830533908,16.19290194663425,12.475336421313717,80.0,21.0,18.0,3416.0,54.0,54.0,0.507,0.070999999999999,0.062,0.455,0.017999999999999,0.017999999999999,44.09000015258789,0.07999999821186,0.07999999821186,0.330000013113021,0.090999998152256,0.065999999642372
10,HAT-P-1,10.186222949365648,0.271018436449052,0.279275026754125,0.525,0.019,0.019,1.319,0.019,0.019,3.7000000476837145,2.099999904632568,2.099999904632568,,,,,,,5975.0,50.0,50.0,1.151,0.019,0.019,1.173999999999999,0.025999999999999,0.027,0.0,0.0,0.0,3.75,0.579999983310699,0.579999983310699
11,HAT-P-2,8.627381327530006,0.777248363109665,0.777248363109665,8.74,0.27,0.27,1.189999999999999,0.12,0.12,0.20000000298023085,12.199999809265137,12.5,,,,,,,6290.0,60.0,60.0,1.278999999999999,0.045999999999999,0.045999999999999,1.679999999999999,0.149999999999999,0.149999999999999,0.0,0.0,0.0,19.5,1.399999976158142,1.399999976158142
